Citation,PR_ID,Year,ST_OB,ES_ID,CHT_ID,Ecosystem_type,Longitude,Latitude,Study_design,Continent,Region,Country,Climat_type,Source,Variable,Impact_type,Level_ecological_organization,nT,mT,sdT,nC,mC,sdC,num.shared.control,N.control.sc
Bhatta et al. 2020. Environmental Conservation 47(3): 197-205 ,PUB1,2020,1,ES1,PUB1_1,Forest,81.557454,28.3648644,Observational,Asia-Tropical,Bardia National Park,Nepal,Sub tropical,Table 3,Total plant species richness,Plant richness,Community,60,7,2,60,16.3,4.6,1,60
Bhatta et al. 2020. Environmental Conservation 47(3): 197-205 ,PUB1,2020,2,ES2,PUB1_1,Forest,81.557454,28.3648644,Observational,Asia-Tropical,Bardia National Park,Nepal,Sub tropical,Table 3,Native plant species richness,Plant richness,Community,60,6.4,1.9,60,14.1,3.5,1,60
Agaldo 2020. African Journal of Ecology 58(2): 291-298,PUB2,2020,1,ES3,PUB2_1,Forest,8.983333,9.883333,Observational,Africa,Amurum Forest Reserve,Nigeria,,Figure 3,Number of woody species,Plant richness,Community,60,0.81,1.316814338,60,1.31,2.323790008,1,60
Agaldo 2020. African Journal of Ecology 58(2): 291-298,PUB2,2020,2,ES4,PUB2_2,Shrubland,8.983333,9.883333,Observational,Africa,Amurum Forest Reserve,Nigeria,,Table 1,pH,pH,Ecosystem,4,4.5,0.14,4,5,0.18,1,4
Agaldo 2020. African Journal of Ecology 58(2): 291-298,PUB2,2020,3,ES5,PUB2_3,Forest,8.983333,9.883333,Observational,Africa,Amurum Forest Reserve,Nigeria,,Table 1,pH,pH,Ecosystem,4,4.6,0.24,4,5,0.3,1,4
Agaldo 2020. African Journal of Ecology 58(2): 291-298,PUB2,2020,4,ES6,PUB2_4,Grassland,8.983333,9.883333,Observational,Africa,Amurum Forest Reserve,Nigeria,,Table 1,pH,pH,Ecosystem,4,4.7,0.28,4,5.2,0.14,1,4
Agaldo 2020. African Journal of Ecology 58(2): 291-298,PUB2,2020,5,ES7,PUB2_2,Shrubland,8.983333,9.883333,Observational,Africa,Amurum Forest Reserve,Nigeria,,Table 1,N (%),N pools,Ecosystem,4,0.07,0.02,4,0.63,0.36,1,4
Agaldo 2020. African Journal of Ecology 58(2): 291-298,PUB2,2020,6,ES8,PUB2_3,Forest,8.983333,9.883333,Observational,Africa,Amurum Forest Reserve,Nigeria,,Table 1,N (%),N pools,Ecosystem,4,0.13,0.04,4,1.1,0.36,1,4
Agaldo 2020. African Journal of Ecology 58(2): 291-298,PUB2,2020,7,ES9,PUB2_4,Grassland,8.983333,9.883333,Observational,Africa,Amurum Forest Reserve,Nigeria,,Table 1,N (%),N pools,Ecosystem,4,0.15,0.02,4,1.33,0.36,1,4
Agaldo 2020. African Journal of Ecology 58(2): 291-298,PUB2,2020,8,ES10,PUB2_2,Shrubland,8.983333,9.883333,Observational,Africa,Amurum Forest Reserve,Nigeria,,Table 1,P (mg/kg),P pools,Ecosystem,4,4.8,2.64,4,5.09,0.64,1,4
Agaldo 2020. African Journal of Ecology 58(2): 291-298,PUB2,2020,9,ES11,PUB2_3,Forest,8.983333,9.883333,Observational,Africa,Amurum Forest Reserve,Nigeria,,Table 1,P (mg/kg),P pools,Ecosystem,4,5.13,0.74,4,4.76,0.42,1,4
Agaldo 2020. African Journal of Ecology 58(2): 291-298,PUB2,2020,10,ES12,PUB2_4,Grassland,8.983333,9.883333,Observational,Africa,Amurum Forest Reserve,Nigeria,,Table 1,P (mg/kg),P pools,Ecosystem,4,6.15,1.28,4,13.17,13.32,1,4
Agaldo 2020. African Journal of Ecology 58(2): 291-298,PUB2,2020,11,ES13,PUB2_2,Shrubland,8.983333,9.883333,Observational,Africa,Amurum Forest Reserve,Nigeria,,Table 1,K (mg/kg),Macronutrients,Ecosystem,4,1.55,0.26,4,0.21,0.02,1,4
Agaldo 2020. African Journal of Ecology 58(2): 291-298,PUB2,2020,12,ES14,PUB2_3,Forest,8.983333,9.883333,Observational,Africa,Amurum Forest Reserve,Nigeria,,Table 1,K (mg/kg),Macronutrients,Ecosystem,4,2.03,0.4,4,0.27,0.02,1,4
Agaldo 2020. African Journal of Ecology 58(2): 291-298,PUB2,2020,13,ES15,PUB2_4,Grassland,8.983333,9.883333,Observational,Africa,Amurum Forest Reserve,Nigeria,,Table 1,K (mg/kg),Macronutrients,Ecosystem,4,2.38,0.48,4,0.31,0.08,1,4
"Ruwanza and Shackleton, 2016. Weed Biology and Management 16:67-79",PUB3,2016,1,ES16,PUB3_1,Grassland,27.0011,-33.53333333,Observational,Africa,Eastern Cape,South Africa,,Table 2,pH,pH,Ecosystem,25,5.9,0.5,25,5.6,1,1,25
